Site ID,Parent Site ID,Parent Site Name,Site Name,Type,Latitude,Longitude,Legacy,Start_Date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,
M049,M049,"Beckett Road, McDowall",Beckett Rd McDowall,Manual,-27.374359,152.989699,,2015,,,,,,,,,,,,1,1,,,,,,,,,,,
M050,M050,"Newmarket Railway Station, Newmarket",Newmarket Railway Station Newmarket,Manual,-27.432418,153.009839,,2015,,,,,,,,,,,,1,1,,1,,,,,,,,,
M051,M051,"Radnor St, Indooroopilly",Radnor St Indooroopilly,Manual,-27.504534,152.97168,,2015,,,,,,,,,,,,1,1,1,1,,,,,,,,,
M052,M052,"Nicholson St, Greenslopes",Nicholson St Greenslopes,Manual,-27.513917,153.045155,,2015,,,,,,,,,,,,1,1,,1,,,,,,,,,
M053,M053,"Toohey Road, Salisbury",Toohey Rd Salisbury,Manual,-27.536035,153.041337,,2015,,,,,,,,,,,,1,1,1,,,,,,,,,,
M054,M054,"Shaw Road, Wooloowin",Shaw Rd Wooloowin,Manual,-27.403978,153.047723,,2012,,,,,,,,,1,,,,1,1,1,,,,,,,,,
M055,M055,"Mowbray Park, East Brisbane",Mowbray Park East Brisbane,Manual,-27.478138,153.044682,,2012,,,,,,,,,1,,,,1,1,,,,,,,,,,
M056,M056,"Spencer Park, Newmarket",Spencer Park Newmarket,Manual,-27.440107,153.010154,,2012,,,,,,,,,1,,,,1,,1,,,,,,,,,
M057,M057,"Junction Kittyhawk Drive and Downfall Creek Bikeway, Chermside","Downfall Creek Bikeway Chermside, Junction at Kittyhawk Drive",Manual,-27.382555,153.0353,,2012,,,,,,,,,1,,,,1,,1,,,,,,,,,
M058W,M058,"Somerset St, Windsor",Somerset St & Albany St Windsor,Manual,-27.434974,153.036227,,2012,,,,,,,,,1,,,,1,,,,,,,,,,,
M058E,M058,"Somerset St, Windsor",Somerset St Windsor,Manual,-27.434903,153.036758,,2016,,,,,,,,,,,,,1,1,1,,,,,,,,,
